Message,Post URL
@paulg's famous Hackers and Painters ... in French ! ,https://philippe.bourgau.net/hackers-et-peintres/
Struggling to set a #team practice in place ? Try this #motivation hack. All you need is a A3 printed comic and post-its ... https://bit.ly/2KVIF9d #gamification ,https://philippe.bourgau.net/motivation-game-53790/
Tell me how to #sprint while going at a #SustainablePace ? #Scrum got the wording completely wrong ... https://bit.ly/2Wo4weZ,https://philippe.bourgau.net/sprints-are-not-sprints/
"Starting #ContinousImprovement is easy. Here is ""How we introduced efficient #agile #retrospectives"" https://bit.ly/2zXk5ml",https://philippe.bourgau.net/how-we-introduced-efficient-agile-retrospectives/
"""Yes, we know this code is crap ... but it was written by X, so we cannot touch it !"" Does this ring a bell ? I call this the Holy #Code #Antipattern https://bit.ly/2VZ9MGY",https://philippe.bourgau.net/the-holy-code-antipattern/
@KentBeck used to mention food a lot in his #eXtremeProgramming book. Here is how we setup a fresh fruit basket for the team without waiting for a company wide action! https://bit.ly/3de8xJB,https://philippe.bourgau.net/how-to-setup-a-weekly-fruit-basket-in-no-time/
"Here's an oldie : The story of how my previous team went from nothing to #CodeReviews, to #PairProgramming to #remote pair programming !",https://philippe.bourgau.net/from-zero-to-pair-programming-hero/
Use #pomodoro to switch control when doing #remote #PairProgramming. It avoids your pair to fall asleep on the other side of the line. https://bit.ly/2z7I1mu,https://philippe.bourgau.net/from-zero-to-pair-programming-hero/
Trellospectives : How we used #Trello to improve our #remote #Retrospectives.,https://philippe.bourgau.net/trellospectives-remote-retrospectives-with-trello/
"#ContinuousImprovement might be the most important to do at work during this crisis. Get your remote retrospectives working with ""Trellospectives: Remote #Retrospectives with #Trello"" https://bit.ly/2z6Qqqs #remotework ",https://philippe.bourgau.net/trellospectives-remote-retrospectives-with-trello/
Did you know that a fast build is (almost) free ?,https://philippe.bourgau.net/www-dot-agileavatars-dot-com-order-customized-avatar-magnets/
"It's pretty straightforward to build a #DecentralizedDecisionRule to speed up the build. Anyone who sees an opportunity for build speed up will know it should, without asking for permission! https://bit.ly/3c3IDbs ",https://philippe.bourgau.net/www-dot-agileavatars-dot-com-order-customized-avatar-magnets/
We tried to all-in #360Feedback team sessions ! Here is how it went. ,https://philippe.bourgau.net/feedback-on-360-degrees-feedback-session/
Revise your binary with Binary Planning Poker,https://philippe.bourgau.net/binary-hand-planning-poker/
Tired of Fibonacci for your poker estimates ? Try Binary Hand Poker ... https://bit.ly/3dhY0xk #geeky #agile #planningPoker,https://philippe.bourgau.net/binary-hand-planning-poker/
"When managing #TechnicalDebt, we should keep the life expectancy of the product in mind to estimate the interests we'll have to payback. https://bit.ly/2YyvCD0 #Refactoring",https://philippe.bourgau.net/the-technical-debt-ponzi-scheme/
Great #developers are free! #Hiring is too important to be left to HR. https://bit.ly/2WrVPQC,https://philippe.bourgau.net/great-developers-are-free/
"Great developers are free, but only for those who are willing to pay for them",https://philippe.bourgau.net/great-developers-are-free/
Creating user focused *and* estimable performance #stories is a challenge ... here is how we did it.,https://philippe.bourgau.net/how-to-write-good-performance-stories/
Start #ExploratoryTesting to improve both your product and your process ! ,https://philippe.bourgau.net/how-we-started-exploratory-testing/
Want to make a better product? Here is how we gamified #ExploratoryTesting and transformed developers in berserk testers! #SoftwareTesting #gamification https://bit.ly/3aZjMnF,https://philippe.bourgau.net/how-we-started-exploratory-testing/
4 tips that will solve 95% of your slow code issues !,https://philippe.bourgau.net/most-common-ways-to-speed-up-an-algorithm/
"Although companies have gone crazy with #algorithm interviews, they've never been the critical part of my job in 15 years of programming. Here are tricks to solve 95% of real-world algorithm challenges. https://bit.ly/3b6fACB",https://philippe.bourgau.net/most-common-ways-to-speed-up-an-algorithm/
